catchment,comparison,hy_year,change,peak_month_before,peak_month_after,peak_extent_pct_before,peak_extent_pct_after,peak_quality_before,peak_quality_after,raw_trough_month_before,raw_trough_month_after,raw_trough_extent_pct_before,raw_trough_extent_pct_after,trough_interval_start_before,trough_interval_start_after,trough_interval_end_before,trough_interval_end_after,trough_timing_status_before,trough_timing_status_after,recovery_start_month_before,recovery_start_month_after,status_before,status_after,status_reason_before,status_reason_after,boundary_status_before,boundary_status_after,cycle_months_before,cycle_months_after,n_usable_months_before,n_usable_months_after,trough_refinement_applied_before,trough_refinement_applied_after,trough_refinement_reason_before,trough_refinement_reason_after,annual_condition_before,annual_condition_after,confidence_before,confidence_after,trough_month_before,trough_month_after
fitzroy_river_wa,current_default_vs_corrected_refinement,2005,"boundary_shifted,interval_width_changed,status_changed,value_changed",2005-03-01,2005-03-01,0.1193405802163906,0.1193405802163906,normal,normal,2005-10-01,2005-10-01,0.0248721010944467,0.0248721010944467,2005-07-01,2005-10-01,2005-10-01,2005-11-01,broad,interval,,,partial,partial,record_start_boundary,boundary_provisional,provisional,provisional,10.0,11.0,10.0,11.0,False,True,not_requested,low_quality_peak,insufficient_baseline,dry_low_refuge,medium,medium,2005-10-01,2005-11-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2006,"interval_width_changed,status_changed,value_changed",2006-01-01,2006-01-01,0.7029518145170444,0.7029518145170444,anomalous,anomalous,2006-10-01,2006-10-01,0.0191190562321234,0.0191190562321234,2006-09-01,2006-10-01,2006-10-01,2006-10-01,interval,point,,2006-11-01 00:00:00,partial,partial,peak_quality_anomalous,boundary_provisional,provisional,provisional,12.0,11.0,12.0,11.0,False,True,not_requested,low_quality_peak,insufficient_baseline,typical_or_mixed,medium,medium,2006-10-01,2006-10-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2007,"boundary_shifted,interval_width_changed,status_changed,value_changed",2007-03-01,2007-03-01,0.2858799995626491,0.2858799995626491,anomalous,anomalous,2007-10-01,2007-10-01,0.0262045417038359,0.0262045417038359,2007-10-01,2007-10-01,2007-10-01,2007-11-01,point,interval,,,partial,partial,peak_quality_anomalous,boundary_provisional,provisional,provisional,12.0,13.0,12.0,13.0,False,True,not_requested,low_quality_peak,insufficient_baseline,typical_or_mixed,medium,medium,2007-10-01,2007-11-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2008,"interval_width_changed,status_changed,value_changed",2008-02-01,2008-02-01,0.2751062888417283,0.2751062888417283,anomalous,anomalous,2008-11-01,2008-11-01,0.0249481810131926,0.0249481810131926,2008-08-01,2008-11-01,2008-11-01,2008-11-01,broad,point,,2008-12-01 00:00:00,partial,partial,peak_quality_anomalous,boundary_provisional,provisional,provisional,13.0,12.0,13.0,12.0,False,True,not_requested,low_quality_peak,insufficient_baseline,dry_low_refuge,medium,medium,2008-11-01,2008-11-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2009,"interval_width_changed,value_changed",2009-02-01,2009-02-01,1.1675291954089002,1.1675291954089002,normal,normal,2009-11-01,2009-11-01,0.0283683881705544,0.0283683881705544,2009-09-01,2009-11-01,2009-11-01,2009-11-01,interval,point,,2009-12-01 00:00:00,complete,complete,ok,ok,confirmed,confirmed,12.0,12.0,12.0,12.0,False,True,not_requested,accepted,insufficient_baseline,typical_or_mixed,high,high,2009-11-01,2009-11-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2010,"status_changed,value_changed",2010-01-01,2010-01-01,0.1615174357272246,0.1615174357272246,normal,normal,2010-09-01,2010-09-01,0.0370357938660427,0.0370357938660427,2010-06-01,2010-06-01,2010-08-01,2010-08-01,interval,interval,,,complete,partial,ok,trough_refinement_fallback,confirmed,provisional,9.0,9.0,9.0,9.0,False,False,not_requested,unstable_quality_sensitivity,insufficient_baseline,typical_or_mixed,high,low,2010-08-01,2010-08-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2011,"boundary_shifted,interval_width_changed,status_changed,value_changed",2011-03-01,2011-03-01,3.728342680952061,3.728342680952061,anomalous,anomalous,2011-09-01,2011-09-01,0.0521425736192478,0.0521425736192478,2011-09-01,2011-09-01,2011-09-01,2011-12-01,point,broad,,,partial,partial,peak_quality_anomalous,boundary_provisional,provisional,provisional,13.0,16.0,13.0,16.0,False,True,not_requested,low_quality_peak,insufficient_baseline,wet_persistent,medium,medium,2011-09-01,2011-12-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2012,"status_changed,value_changed",2012-03-01,2012-03-01,0.3019034221144441,0.3019034221144441,normal,normal,2012-12-01,2012-12-01,0.0196893453376487,0.0196893453376487,2012-09-01,2012-09-01,2012-10-01,2012-10-01,interval,interval,,,complete,partial,ok,trough_refinement_fallback,confirmed,provisional,13.0,10.0,13.0,10.0,False,False,not_requested,unstable_quality_sensitivity,insufficient_baseline,typical_or_mixed,high,low,2012-10-01,2012-10-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2013,"interval_width_changed,status_changed,value_changed",2013-03-01,2013-03-01,0.1945817754905184,0.1945817754905184,normal,normal,2013-11-01,2013-11-01,0.0299345378696371,0.0299345378696371,2013-08-01,2013-11-01,2013-11-01,2013-11-01,broad,point,,,complete,partial,ok,boundary_provisional,confirmed,provisional,13.0,13.0,13.0,13.0,False,True,not_requested,essential_low_quality_recovery,insufficient_baseline,typical_or_mixed,high,medium,2013-11-01,2013-11-01
fitzroy_river_wa,current_default_vs_corrected_refinement,2014,"interval_width_changed,status_changed,value_changed",2014-02-01,2014-02-01,0.8168978959305887,0.8168978959305887,normal,normal,2014-11-01,2014-11-01,0.0289103332065776,0.0289103332065776,2014-09-01,2014-11-01,2014-11-01,2014-11-01,interval,point,,2014-12-01 00:00:00,complete,partial,ok,boundary_provisional,confirmed,provisional,12.0,12.0,12.0,12.0,False,True,not_requested,essential_low_quality_recovery,insufficient_baseline,typical_or_mixed,high,medium,2014-11-01,2014-11-01
