catchment,hy_year,scenario,injected_floor_pp,published_boundary,published_refinement_reason,status,reason,boundary,boundary_candidates,low_state_start,low_state_end,recovery_start,pulse_months,local_scale_pp,best_loss,effective_support,policy_version,loss_basis
fitzroy_river_wa,2014,existing,0.0,2014-11-01,essential_low_quality_recovery,provisional,essential_low_quality_recovery,2014-11-01,"(Timestamp('2014-11-01 00:00:00'),)",2014-11-01,2014-11-01,2014-12-01,(),9.533116647813782e-07,158.66463640171202,11.257622109191239,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2014,record_floor_sensitivity_only,0.0148253438173371,2014-11-01,essential_low_quality_recovery,provisional,essential_low_quality_recovery,2014-11-01,"(Timestamp('2014-09-01 00:00:00'), Timestamp('2014-10-01 00:00:00'), Timestamp('2014-11-01 00:00:00'))",2014-11-01,2014-11-01,2014-12-01,(),0.0148253438173371,1.512700784178785e-05,11.257622109191239,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2015,existing,0.0,2015-10-01,interval_peak,provisional,interval_peak,2015-10-01,"(Timestamp('2015-10-01 00:00:00'),)",2015-10-01,2015-10-01,2015-11-01,(),9.536447160110636e-07,1581.7591586820126,13.283218630513911,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2015,record_floor_sensitivity_only,0.0148253438173371,2015-10-01,interval_peak,provisional,interval_peak,2015-10-01,"(Timestamp('2015-07-01 00:00:00'), Timestamp('2015-08-01 00:00:00'), Timestamp('2015-09-01 00:00:00'), Timestamp('2015-10-01 00:00:00'), Timestamp('2015-11-01 00:00:00'), Timestamp('2015-12-01 00:00:00'))",2015-10-01,2015-10-01,2015-11-01,(),0.0148253438173371,0.001474905240013358,13.283218630513911,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2016,existing,0.0,2016-11-01,interval_peak,provisional,interval_peak,2016-11-01,"(Timestamp('2016-11-01 00:00:00'),)",2016-11-01,2016-11-01,2016-12-01,"(Timestamp('2016-05-01 00:00:00'),)",9.521129371230234e-07,29185.631337240193,11.384001226303463,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2016,record_floor_sensitivity_only,0.0148253438173371,2016-11-01,interval_peak,provisional,interval_peak,2016-11-01,"(Timestamp('2016-08-01 00:00:00'), Timestamp('2016-09-01 00:00:00'), Timestamp('2016-10-01 00:00:00'), Timestamp('2016-11-01 00:00:00'))",2016-11-01,2016-11-01,2016-12-01,(),0.0148253438173371,0.48890979664870066,11.384001226303463,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2017,existing,0.0,2017-11-01,accepted,confirmed,accepted,2017-11-01,"(Timestamp('2017-11-01 00:00:00'),)",2017-11-01,2017-11-01,2017-12-01,(),9.537127259143977e-07,0.0,12.290762971343504,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2017,record_floor_sensitivity_only,0.0148253438173371,2017-11-01,accepted,confirmed,accepted,2017-11-01,"(Timestamp('2017-10-01 00:00:00'), Timestamp('2017-11-01 00:00:00'))",2017-11-01,2017-11-01,2017-12-01,(),0.0148253438173371,0.0,12.290762971343504,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2018,existing,0.0,2018-11-01,accepted,confirmed,accepted,2018-11-01,"(Timestamp('2018-11-01 00:00:00'),)",2018-11-01,2018-11-01,2018-12-01,(),9.519544677131838e-07,0.0,12.570400685068611,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2018,record_floor_sensitivity_only,0.0148253438173371,2018-11-01,accepted,confirmed,accepted,2018-11-01,"(Timestamp('2018-09-01 00:00:00'), Timestamp('2018-10-01 00:00:00'), Timestamp('2018-11-01 00:00:00'), Timestamp('2018-12-01 00:00:00'))",2018-11-01,2018-11-01,2018-12-01,(),0.0148253438173371,0.0,12.570400685068611,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2019,existing,0.0,2019-12-01,accepted,confirmed,accepted,2019-12-01,"(Timestamp('2019-12-01 00:00:00'),)",2019-12-01,2019-12-01,2020-01-01,"(Timestamp('2019-06-01 00:00:00'), Timestamp('2019-09-01 00:00:00'))",9.524980591055259e-07,3924.998925349473,13.516966930803006,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2019,record_floor_sensitivity_only,0.0148253438173371,2019-12-01,accepted,unresolved,boundary_set_too_broad,,"(Timestamp('2019-06-01 00:00:00'), Timestamp('2019-07-01 00:00:00'), Timestamp('2019-08-01 00:00:00'), Timestamp('2019-09-01 00:00:00'), Timestamp('2019-10-01 00:00:00'), Timestamp('2019-11-01 00:00:00'), Timestamp('2019-12-01 00:00:00'))",2019-12-01,2019-12-01,,(),0.0148253438173371,0.005976106707476872,13.516966930803006,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2020,existing,0.0,2020-10-01,accepted,confirmed,accepted,2020-10-01,"(Timestamp('2020-10-01 00:00:00'),)",2020-10-01,2020-10-01,2020-11-01,(),9.521346396836406e-07,187753.38842139856,12.346076362895284,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2020,record_floor_sensitivity_only,0.0148253438173371,2020-10-01,accepted,confirmed,accepted,2020-10-01,"(Timestamp('2020-09-01 00:00:00'), Timestamp('2020-10-01 00:00:00'), Timestamp('2020-11-01 00:00:00'))",2020-10-01,2020-10-01,2020-11-01,(),0.0148253438173371,10.585322722873507,12.346076362895284,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2021,existing,0.0,2021-10-01,accepted,confirmed,accepted,2021-10-01,"(Timestamp('2021-10-01 00:00:00'),)",2021-10-01,2021-10-01,2021-11-01,(),9.519173069606923e-07,9326.137183984647,11.634659645356283,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2021,record_floor_sensitivity_only,0.0148253438173371,2021-10-01,accepted,confirmed,accepted,2021-10-01,"(Timestamp('2021-09-01 00:00:00'), Timestamp('2021-10-01 00:00:00'), Timestamp('2021-11-01 00:00:00'), Timestamp('2021-12-01 00:00:00'), Timestamp('2022-01-01 00:00:00'))",2021-10-01,2021-10-01,2021-11-01,(),0.0148253438173371,0.05126720368488731,11.634659645356283,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2022,existing,0.0,2022-11-01,accepted,confirmed,accepted,2022-11-01,"(Timestamp('2022-11-01 00:00:00'),)",2022-11-01,2022-11-01,2022-12-01,"(Timestamp('2022-10-01 00:00:00'),)",9.523135694095357e-07,10365.595115029722,11.556984279991202,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2022,record_floor_sensitivity_only,0.0148253438173371,2022-11-01,accepted,confirmed,accepted,2022-11-01,"(Timestamp('2022-07-01 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-10-01 00:00:00'), Timestamp('2022-11-01 00:00:00'))",2022-11-01,2022-11-01,2022-12-01,(),0.0148253438173371,0.06306691295249844,11.556984279991202,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2023,existing,0.0,2024-01-01,accepted,confirmed,accepted,2024-01-01,"(Timestamp('2024-01-01 00:00:00'),)",2024-01-01,2024-01-01,2024-02-01,(),9.526487374046143e-07,23031.844062171993,14.489083972451038,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2023,record_floor_sensitivity_only,0.0148253438173371,2024-01-01,accepted,confirmed,accepted,2024-01-01,"(Timestamp('2023-10-01 00:00:00'), Timestamp('2023-11-01 00:00:00'), Timestamp('2023-12-01 00:00:00'), Timestamp('2024-01-01 00:00:00'))",2024-01-01,2024-01-01,2024-02-01,(),0.0148253438173371,0.31197013802880247,14.489083972451038,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2024,existing,0.0,2024-11-01,interval_peak,provisional,interval_peak,2024-11-01,"(Timestamp('2024-11-01 00:00:00'),)",2024-11-01,2024-11-01,2024-12-01,(),9.522936406582988e-07,0.0,10.63101061704945,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2024,record_floor_sensitivity_only,0.0148253438173371,2024-11-01,interval_peak,provisional,interval_peak,2024-11-01,"(Timestamp('2024-08-01 00:00:00'), Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00'), Timestamp('2024-11-01 00:00:00'))",2024-11-01,2024-11-01,2024-12-01,(),0.0148253438173371,0.0,10.63101061704945,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2025,existing,0.0,2025-11-01,open_span,awaiting_next_peak,open_span,,(),,,,(),0.0,,0.0,trough_refinement_candidate_0_2,unavailable
fitzroy_river_wa,2025,record_floor_sensitivity_only,0.0148253438173371,2025-11-01,open_span,awaiting_next_peak,open_span,,(),,,,(),0.0,,0.0,trough_refinement_candidate_0_2,unavailable
